City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Fontana city, California",197317,199880,201212,202670,203972,206163,208718,211122,213202,214547
"Fort Bragg city, California",7307,7277,7279,7268,7283,7277,7291,7308,7347,7291
"Fort Jones city, California",710,704,694,686,684,683,685,690,689,692
"Fortuna city, California",12048,12028,11927,11891,11973,12057,12199,12277,12322,12259
"Foster City city, California",30609,30965,32098,32416,32698,33470,34279,34292,34109,33901
"Fountain Valley city, California",55470,55950,56318,56601,56671,56643,56423,56051,55663,55357
"Fowler city, California",5665,5921,5929,5938,6028,6242,6353,6487,6750,6790
"Fremont city, California",214553,217391,221426,224796,228274,231687,233478,234544,237811,241110
"Fresno city, California",497769,501429,505414,508880,514100,518203,521426,525373,528814,531576
"Fullerton city, California",135291,136386,138103,138637,138840,139982,140454,139744,139273,138632
"Galt city, California",23739,24142,24274,24433,24760,25226,25619,26167,26378,26536
"Gardena city, California",58835,59114,59368,59788,59843,59946,59873,59871,59540,59329
"Garden Grove city, California",171181,172957,173809,174422,174423,174343,174571,173422,172195,171644
"Gilroy city, California",49006,49700,50718,51893,52538,53259,55369,57549,58588,59032
"Glendale city, California",191720,192656,193859,195318,198232,199197,200118,201804,200688,199303
"Glendora city, California",50376,50624,50795,51120,51065,51769,51882,51997,51846,51544
"Goleta city, California",30143,30176,30387,30639,30880,30963,30921,31098,30954,30911
"Gonzales city, California",8171,8230,8301,8349,8379,8402,8428,8396,8349,8306
"Grand Terrace city, California",12064,12155,12243,12301,12334,12387,12460,12557,12556,12584
"Grass Valley city, California",12876,12903,12820,12784,12840,12929,12927,12932,12881,12817
"Greenfield city, California",16414,16540,16682,16766,16826,17047,17361,17362,17561,17516
"Gridley city, California",6634,6605,6605,6603,6624,6617,6622,6636,6634,7246
"Grover Beach city, California",13176,13210,13307,13403,13464,13526,13586,13585,13501,13459
"Guadalupe city, California",7086,7091,7139,7191,7248,7279,7288,7319,7613,7783
"Gustine city, California",5534,5582,5601,5621,5649,5712,5801,5815,5847,5882
"Half Moon Bay city, California",11345,11501,11677,12054,12355,12657,12761,12840,12974,12932
"Hanford city, California",54463,54612,54524,54741,55086,55608,55663,56383,56971,57703
"Hawaiian Gardens city, California",14277,14329,14376,14419,14430,14461,14423,14356,14262,14159
"Hawthorne city, California",84295,84922,85359,85863,86740,87669,87685,87308,86671,86068
"Hayward city, California",144835,146935,149406,151753,154376,157999,159331,160324,159760,159203
"Healdsburg city, California",11309,11350,11392,11485,11613,11705,11806,11795,12076,11845
"Hemet city, California",79090,80226,81033,81718,82541,83305,84121,84809,85148,85334
"Hercules city, California",24147,24346,24571,24804,25038,25271,25416,25505,25612,26276
"Hermosa Beach city, California",19506,19570,19640,19674,19659,19688,19722,19590,19404,19320
"Hesperia city, California",90279,91168,91568,91777,92071,92653,93251,94473,95013,95750
"Hidden Hills city, California",1856,1869,1878,1891,1895,1908,1916,1910,1891,1890
"Highland city, California",53218,53671,53939,54150,54325,54553,54752,55198,55311,55417
"Hillsborough town, California",10859,11001,11131,11261,11379,11466,11490,11464,11446,11387
"Hollister city, California",34973,35304,35731,36184,36665,36960,37576,38377,39750,40740
"Holtville city, California",5961,6002,6007,6021,6251,6360,6418,6559,6661,6621
"Hughson city, California",6664,6714,6849,6988,7177,7319,7398,7467,7538,7565
"Huntington Beach city, California",191296,192995,194174,197107,199610,200653,200284,200938,200126,199223
"Huntington Park city, California",58125,58334,58524,58739,58908,58933,58701,58476,57998,57509
"Huron city, California",6752,6745,6754,6765,6779,6802,6924,7285,7278,7281
"Imperial city, California",14836,15190,15556,16111,16680,16943,17089,17432,17671,18120
"Imperial Beach city, California",26388,26617,26821,27031,27055,27259,27329,27278,27362,27440
"Indian Wells city, California",4982,5040,5088,5139,5193,5255,5324,5392,5435,5470
"Indio city, California",79665,81046,82250,83358,85127,86917,88196,89438,90970,91765
"Industry city, California",214,206,204,207,207,207,207,206,204,202
"Inglewood city, California",109658,110501,110866,110954,110840,110693,110271,109907,109038,108151
"Ione city, California",7748,7562,7318,6963,6972,6997,7031,7818,8381,8568
"Irvine city, California",213450,220303,229063,236057,247136,255382,265345,276000,281732,287401
"Irwindale city, California",1418,1416,1413,1413,1417,1421,1427,1452,1458,1446
"Isleton city, California",805,810,815,819,824,830,835,844,843,844
"Jackson city, California",4658,4624,4607,4596,4611,4660,4695,4734,4793,4840
"Jurupa Valley city, California",95590,97195,98350,99469,100080,101460,103240,105760,108314,109527
"Kerman city, California",13634,13877,14285,14299,14329,14412,14534,14860,14987,15282
"King City city, California",12902,13001,13119,13189,13482,13789,13830,13941,13970,14077
"Kingsburg city, California",11464,11556,11636,11698,11727,11800,11831,12013,12071,12108
"La Cañada Flintridge city, California",20258,20348,20417,20470,20451,20428,20397,20297,20161,20009
"Lafayette city, California",23873,24288,24570,25024,25423,25790,26153,26388,26524,26638
"Laguna Beach city, California",22765,22976,23098,23213,23214,23232,23165,23045,22931,22827
"Laguna Hills city, California",30713,30983,31146,31260,31215,31973,31849,31631,31395,31207
"Laguna Niguel city, California",63119,63774,64134,64381,65079,65396,65145,66011,66079,66385
"Laguna Woods city, California",16012,16148,16233,16290,16264,16251,16184,16068,15949,15850
"La Habra city, California",59108,59658,59970,60224,60421,60473,60292,60898,60778,60513
"La Habra Heights city, California",6540,6573,6606,6622,6628,6639,6616,6590,6545,6492
"Lake Elsinore city, California",53627,55078,56044,57711,60111,61955,63807,66066,68051,69283
"Lake Forest city, California",77552,78299,78727,79112,79678,81964,83019,83878,85381,85531
"Lakeport city, California",4757,4717,4683,4753,4765,4780,4909,4909,4926,5006
"Lakewood city, California",80079,80413,80672,80883,80927,80951,80895,80510,79907,79307
"La Mesa city, California",57149,57644,58099,58556,58855,59697,59751,59722,59389,59249
"La Mirada city, California",48535,48702,48851,48961,49019,49129,49054,48827,48544,48183
"Lancaster city, California",156824,158078,158253,159055,159634,159813,159633,159434,158622,157601
"La Palma city, California",15545,15676,15757,15846,15819,15806,15739,15644,15525,15428
"La Puente city, California",39843,40032,40166,40305,40367,40412,40250,40078,39772,39614
"La Quinta city, California",37670,38142,38494,39119,39742,40209,40777,41180,41464,41748
"Larkspur city, California",11920,12022,12075,12185,12286,12383,12362,12316,12302,12254
